DATE,CCR,AGE,GENDER,RACE,ARRESTLOCATION,OFFENSES,INCIDENTLOCATION,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y,ARRESTTIMEONLY,high_temp,low_temp,precipitation
2/20/18,18032925,31,F,W,"7200 Block Frankstown AV Pittsburgh, PA 15208",13(a)(16) Possession of Controlled Substance,"7200 Block Frankstown AV Pittsburgh, PA 15208",Homewood South,5,1303,9,2,-79.89625374,40.45732934,13:46:00,60,78,0.38
2/20/18,18033247,39,F,W,"Sandusky ST N & Parkhurst ST Pittsburgh, PA 15212",13(a)(16) Possession of Controlled Substance,"Sandusky ST & Parkhurst ST Pittsburgh, PA 15212",Central North Side,1,2206,1,1,-80.00490811,40.45701693,20:59:00,60,78,0.38
2/22/18,18034712,52,F,W,"Radcliffe ST & Maple ST Pittsburgh, PA 15204",13(a)(16) Possession of Controlled Substance,"Radcliffe ST & Maple ST Pittsburgh, PA 15204",Esplen,6,2017,2,5,-80.05460458,40.46137549,20:40:00,38,43,0.35
2/23/18,18035239,23,M,B,"600 Block Manton WY Pittsburgh, PA 15210",13(a)(16) Possession of Controlled Substance,"600 Block Manton WY Pittsburgh, PA 15210",Allentown,3,1803,3,5,-79.99737036,40.42115598,15:40:00,41,63,0.65
2/23/18,18035342,52,M,B,"5th AV & Pride ST Pittsburgh, PA 15219",13(a)(16) Possession of Controlled Substance,"5th AV & Pride ST Pittsburgh, PA 15219",Bluff,2,103,6,3,-79.98505685,40.43854178,17:52:00,41,63,0.65
2/28/18,18038295,53,M,B,"Frankstown AV & N Braddock AV Pittsburgh, PA 15208",13(a)(16) Possession of Controlled Substance,"Frankstown AV & N Braddock AV Pittsburgh, PA 15208",Homewood North,5,1302,9,2,-79.89002088,40.45595757,00:21:00,38,64,0
3/3/18,18040767,18,M,B,"7200 Block Frankstown AV Pittsburgh, PA 15208",13(a)(16) Possession of Controlled Substance,"7200 Block Frankstown AV Pittsburgh, PA 15208",Homewood North,5,1302,9,2,-79.89625374,40.45732934,12:24:00,25,42,0
3/7/18,18043603,23,M,W,"400 Block North Shore DR Pittsburgh, PA 15212",13(a)(16) Possession of Controlled Substance,"400 Block North Shore DR Pittsburgh, PA 15212",North Shore,1,2205,1,6,-80.01233658,40.44626305,21:30:00,29,39,0.14
3/7/18,18043616,25,M,B,"400 Block North Shore DR Pittsburgh, PA 15212",13(a)(16) Possession of Controlled Substance,"400 Block North Shore DR Pittsburgh, PA 15212",Bluff,1,103,1,6,-80.01233658,40.44626305,22:45:00,29,39,0.14
3/7/18,18043616,25,M,B,"400 Block North Shore DR Pittsburgh, PA 15212",13(a)(16) Possession of Controlled Substance,"400 Block North Shore DR Pittsburgh, PA 15212",North Shore,1,2205,1,6,-80.0123399,40.44627102,22:45:00,29,39,0.14
3/9/18,18044624,50,M,B,"Winfield ST & Rapidan WY Pittsburgh, PA 15206",13(a)(16) Possession of Controlled Substance,"Winfield ST & Rapidan WY Pittsburgh, PA 15206",Larimer,5,1204,9,2,-79.90944418,40.46423807,16:15:00,22,30,0.02
3/13/18,18047403,27,F,W,"Saw Mill Run BL & Steuben ST Pittsburgh, PA 15220",13(a)(16) Possession of Controlled Substance,"Saw Mill Run BL & Steuben ST Pittsburgh, PA 15220",West End,6,2019,2,5,-80.02942799,40.44409702,20:15:00,27,34,0
3/18/18,18050356,32,F,W,"300 Block E North AV Pittsburgh, PA 15212",13(a)(16) Possession of Controlled Substance,"300 Block E North AV Pittsburgh, PA 15212",Allegheny Center,1,2204,1,1,-80.00964027,40.45494869,01:50:00,20,53,0
3/20/18,18051942,53,M,B,"Centre AV & Erin ST Pittsburgh, PA 15219",13(a)(16) Possession of Controlled Substance,"Centre AV & Erin ST Pittsburgh, PA 15219",Middle Hill,2,501,6,3,-79.97889929,40.4443426,16:05:00,29,41,0
3/20/18,18051990,29,M,B,"4200 Block Mc Caslin ST Pittsburgh, PA 15217",13(a)(16) Possession of Controlled Substance,"4200 Block Mc Caslin ST Pittsburgh, PA 15217",Greenfield,4,1517,5,3,-79.9367067,40.42298243,17:25:00,29,41,0
3/21/18,18052623,33,M,W,"Davison ST & 46th ST Pittsburgh, PA 15201",13(a)(16) Possession of Controlled Substance,"200 Block Service WY Pittsburgh, PA 15201",Central Lawrenceville,2,902,7,2,-79.95892214,40.47142638,16:56:00,25,33,0.39
3/23/18,18054102,27,M,B,"S 18th ST & Monastery AV Pittsburgh, PA 15203",13(a)(16) Possession of Controlled Substance,"S 18th ST & Monastery AV Pittsburgh, PA 15203",South Side Slopes,3,1706,3,3,-79.9838657,40.42194195,19:30:00,21,38,0
3/24/18,18054526,31,M,W,Zone 1,13(a)(16) Possession of Controlled Substance,Zone 1,,1,,,,,,10:59:00,22,41,0
3/24/18,18054742,57,M,W,"Marsonia ST & Mountford AV Pittsburgh, PA 15214",13(a)(16) Possession of Controlled Substance,"Marsonia ST & Mountford AV Pittsburgh, PA 15214",Fineview,1,2509,1,1,-80.00750346,40.46372733,17:45:00,22,41,0
3/29/18,17008201,43,M,B,"Penn AV & 5th AV Pittsburgh, PA 15206",13(a)(16) Possession of Controlled Substance,"Penn AV & 5th AV Pittsburgh, PA 15206",Shadyside,4,708,8,3,-79.91242362,40.45403729,13:30:00,46,62,0.13
3/30/18,18058891,67,M,B,"7200 Block Bennett ST Pittsburgh, PA 15208",13(a)(16) Possession of Controlled Substance,"7200 Block Bennett ST Pittsburgh, PA 15208",Lincoln-Lemington-Belmar,5,1201,9,2,-79.89666478,40.45640769,21:15:00,32,45,0.53
3/30/18,18058625,25,M,W,"3200 Block Motor ST Pittsburgh, PA 15204",13(a)(16) Possession of Controlled Substance,"3200 Block Motor ST Pittsburgh, PA 15204",Sheraden,6,2018,2,5,-80.05530017,40.4579722,14:15:00,32,45,0.53
4/3/18,18061471,57,F,W,"Gloster ST & Path WY Pittsburgh, PA 15207",13(a)(16) Possession of Controlled Substance,"Gloster ST & Path WY Pittsburgh, PA 15207",Hazelwood,4,1501,5,3,-79.94435221,40.40734372,18:55:00,36,59,0.04
4/4/18,18013841,33,M,W,"2000 Block Brownsville RD Pittsburgh, PA 15210",13(a)(16) Possession of Controlled Substance,"500 Block Industry ST Pittsburgh, PA 15210",Beltzhoover,3,1809,3,5,-79.99885189,40.42065083,14:05:00,30,60,1.22
4/4/18,18062141,31,M,W,"39th ST & Butler ST Pittsburgh, PA 15201",13(a)(16) Possession of Controlled Substance,"39th ST & Butler ST Pittsburgh, PA 15201",Lower Lawrenceville,2,603,7,2,-79.96375254,40.46756847,16:53:00,30,60,1.22
4/5/18,18062811,19,F,W,"2400 Block Chauncey DR Pittsburgh, PA 15219",13(a)(16) Possession of Controlled Substance,"2400 Block Chauncey DR Pittsburgh, PA 15219",Bedford Dwellings,2,509,6,3,-79.97459725,40.44992033,15:55:00,28,44,0
4/8/18,18064529,19,F,B,"300 Block E North AV Pittsburgh, PA 15212",13(a)(16) Possession of Controlled Substance,"300 Block E North AV Pittsburgh, PA 15212",Central North Side,1,2206,1,1,-80.00964027,40.45494869,00:30:00,27,38,0
4/16/18,18070516,40,F,W,"Grogan AV & Reifert ST Pittsburgh, PA 15210",13(a)(16) Possession of Controlled Substance,"Grogan AV & Reifert ST Pittsburgh, PA 15210",Knoxville,3,3001,3,5,-79.99409452,40.40838218,13:10:00,33,47,1.4
4/20/18,18073146,20,M,B,"400 Block Dinwiddie ST Pittsburgh, PA 15219",13(a)(16) Possession of Controlled Substance,"400 Block Dinwiddie ST Pittsburgh, PA 15219",Crawford-Roberts,2,305,6,3,-79.98040531,40.44238139,15:10:00,28,53,0.02
4/22/18,18070994,34,M,W,"600 Block 1st AV Pittsburgh, PA 15219",13(a)(16) Possession of Controlled Substance,"1900 Block Murray AV Pittsburgh, PA 15217",Squirrel Hill South,4,1413,5,3,-79.92306465,40.43587165,10:15:00,45,67,0
4/23/18,18074907,18,M,W,"Boggston AV & Sylvania AV Pittsburgh, PA 15210",13(a)(16) Possession of Controlled Substance,"Boggston AV & Sylvania AV Pittsburgh, PA 15210",Beltzhoover,3,1809,3,5,-80.00978607,40.41605792,00:25:00,50,71,0
4/26/18,18077406,31,M,W,"40 Block Bailey AV Pittsburgh, PA 15211",13(a)(16) Possession of Controlled Substance,"40 Block Bailey AV Pittsburgh, PA 15211",Mount Washington,3,1807,3,5,-80.00422099,40.42704452,17:25:00,38,61,0
4/26/18,18077203,68,M,B,"2500 Block Centre AV Pittsburgh, PA 15219",13(a)(16) Possession of Controlled Substance,"2500 Block Centre AV Pittsburgh, PA 15219",Terrace Village,2,510,6,3,-79.97058741,40.44556158,11:30:00,38,61,0
5/1/18,18080642,28,F,W,"1700 Block Belleau DR Pittsburgh, PA 15212",13(a)(16) Possession of Controlled Substance,"1700 Block Belleau DR Pittsburgh, PA 15212",Fineview,1,2509,6,1,-80.00698007,40.46030258,11:40:00,45,79,0
5/5/18,18083820,61,M,B,"Suffolk ST & Hazelton ST Pittsburgh, PA 15214",13(a)(16) Possession of Controlled Substance,"Suffolk ST & Hazelton ST Pittsburgh, PA 15214",Fineview,1,2509,6,1,-80.00591869,40.46737459,16:34:00,49,71,0
5/6/18,18084137,24,M,W,"200 Block Atwood ST Pittsburgh, PA 15213",13(a)(16) Possession of Controlled Substance,"200 Block Atwood ST Pittsburgh, PA 15213",Central Oakland,4,405,3,3,-79.95688887,40.44042041,01:55:00,55,66,0
5/7/18,18084902,40,M,B,"7500 Block Bennett ST Pittsburgh, PA 15208",13(a)(16) Possession of Controlled Substance,"7500 Block Bennett ST Pittsburgh, PA 15208",Homewood South,5,1304,9,2,-79.89220413,40.45527585,12:20:00,54,72,0
5/8/18,17131385,35,M,W,"50 Block 11th ST Pittsburgh, PA 15222",13(a)(16) Possession of Controlled Substance,"Cedar AV & Virgin WY Pittsburgh, PA 15212",Allegheny Center,1,2204,1,1,-80.00158945,40.45298477,19:05:00,49,78,0
5/8/18,18085841,50,M,B,"Tecumseh ST & 2nd AV Pittsburgh, PA 15207",13(a)(16) Possession of Controlled Substance,"Tecumseh ST & 2nd AV Pittsburgh, PA 15207",Hazelwood,4,1515,5,3,-79.94367997,40.40857085,17:00:00,49,78,0
5/8/18,18086023,29,F,W,"600 Block 1st AV Pittsburgh, PA 15219",13(a)(16) Possession of Controlled Substance,"1600 Block Colwell ST Pittsburgh, PA 15219",Crawford-Roberts,2,305,6,3,-79.98375202,40.43901006,21:00:00,49,78,0
5/10/18,18087613,25,M,W,"2nd AV & Renova ST Pittsburgh, PA 15207",13(a)(16) Possession of Controlled Substance,"2nd AV & Renova ST Pittsburgh, PA 15207",Hazelwood,4,1515,5,3,-79.93879744,40.40065175,21:35:00,63,79,0.11
5/10/18,18087613,24,F,W,"2nd AV & Renova ST Pittsburgh, PA 15207",13(a)(16) Possession of Controlled Substance,"2nd AV & Renova ST Pittsburgh, PA 15207",Hazelwood,4,1515,5,3,-79.93879744,40.40065175,21:35:00,63,79,0.11
5/10/18,18087366,23,M,B,"200 Block East Ohio ST Pittsburgh, PA 15212",13(a)(16) Possession of Controlled Substance,"200 Block East Ohio ST Pittsburgh, PA 15212",Allegheny Center,1,2204,1,1,-80.00366043,40.45302239,16:04:00,63,79,0.11
5/11/18,18088252,37,M,W,"Smithfield St BRDG & W Carson ST Pittsburgh, PA 15219",13(a)(16) Possession of Controlled Substance,"Smithfield St BRDG & W Carson ST Pittsburgh, PA 15219",South Shore,3,1921,,,,,18:10:00,54,65,0.14
5/16/18,18091336,24,M,B,"1100 Block Marshall AV Pittsburgh, PA 15212",13(a)(16) Possession of Controlled Substance,"1100 Block Marshall AV Pittsburgh, PA 15212",Marshall-Shadeland,1,2704,1,1,-80.02508333,40.46691375,04:20:00,62,75,0
5/20/18,18094622,47,F,W,"6900 Block Thomas ST Pittsburgh, PA 15208",13(a)(16) Possession of Controlled Substance,"6900 Block Thomas ST Pittsburgh, PA 15208",Point Breeze North,4,1405,9,2,-79.90688997,40.45314735,14:23:00,63,73,0.67
5/20/18,18094743,41,M,W,"5th AV & Vine ST Pittsburgh, PA 15219",13(a)(16) Possession of Controlled Substance,"5th AV & Vine ST Pittsburgh, PA 15219",Bluff,2,103,6,3,-79.984086,40.43849808,18:06:00,63,73,0.67
5/23/18,18097063,34,M,W,Zone 4,13(a)(16) Possession of Controlled Substance,Zone 4,,4,,,,,,17:57:00,58,73,0.19
5/23/18,18097206,31,F,W,"Spring Garden AV & Tell ST Pittsburgh, PA 15212",13(a)(16) Possession of Controlled Substance,"Spring Garden AV & Tell ST Pittsburgh, PA 15212",Spring Garden,1,2412,1,1,-79.98862299,40.46069648,20:53:00,58,73,0.19
5/25/18,18098138,58,M,B,"S 18th ST & E Carson ST Pittsburgh, PA 15203",13(a)(16) Possession of Controlled Substance,"S 18th ST & E Carson ST Pittsburgh, PA 15203",South Side Flats,3,1702,3,3,-79.98056196,40.42875859,03:05:00,56,85,0
5/29/18,18101267,33,M,W,"Middletown RD & Ladoga ST Pittsburgh, PA 15204",13(a)(16) Possession of Controlled Substance,"1200 Block Faulkner ST Pittsburgh, PA 15204",West End,6,2019,2,5,-80.06366229,40.45490789,17:30:00,68,90,0
6/1/18,18103489,56,F,B,"Gerritt ST & Frankstown AV Pittsburgh, PA 15208",13(a)(16) Possession of Controlled Substance,"Gerritt ST & Frankstown AV Pittsburgh, PA 15208",Homewood West,5,1207,9,2,-79.90214615,40.45859063,10:25:00,67,78,0
6/1/18,18103982,34,F,B,"Spencer AV & Custer AV Pittsburgh, PA 15227",13(a)(16) Possession of Controlled Substance,"Spencer AV & Custer AV Pittsburgh, PA 15227",Carrick,3,2904,4,3,-79.9763269,40.39304267,22:25:00,67,78,0
6/8/18,18109061,49,M,B,"2800 Block Perrysville AV Pittsburgh, PA 15214",13(a)(16) Possession of Controlled Substance,"2800 Block Perrysville AV Pittsburgh, PA 15214",Perry South,1,2615,1,1,-80.01038609,40.4739828,16:40:00,61,81,0
6/9/18,18109463,20,F,B,"Belleau ST & Sandusky ST N Pittsburgh, PA 15214",13(a)(16) Possession of Controlled Substance,"Belleau ST & Sandusky ST Pittsburgh, PA 15214",Fineview,1,2509,,,,,03:34:00,64,79,0
6/10/18,18109284,29,M,B,"600 Block 1st AV Pittsburgh, PA 15219",13(a)(16) Possession of Controlled Substance,"Estella AV & Climax ST Pittsburgh, PA 15210",Beltzhoover,3,1809,3,5,-80.00048774,40.4199558,23:39:00,63,80,1.01
6/11/18,18111388,56,M,W,"Sheridan SQ & Penn AV Pittsburgh, PA 15206",13(a)(16) Possession of Controlled Substance,"Sheridan SQ & Broad ST Pittsburgh, PA 15206",East Liberty,5,1115,9,2,-79.92308067,40.46204036,19:50:00,58,71,1.12
6/12/18,18112031,47,M,B,"7700 Block Forest WY Pittsburgh, PA 15221",13(a)(16) Possession of Controlled Substance,"7600 Block Frankstown AV Pittsburgh, PA 15221",Homewood North,5,1302,9,2,-79.88997892,40.45567273,17:26:00,57,78,0
6/14/18,18113663,59,M,B,"Glenwood AV & Mansion ST Pittsburgh, PA 15207",13(a)(16) Possession of Controlled Substance,"Glenwood AV & Fedora ST Pittsburgh, PA 15207",Hazelwood,4,1515,5,3,-79.93829114,40.40330402,17:00:00,57,80,0.01
6/15/18,18114339,72,M,B,"Forbes AV & S Braddock AV Pittsburgh, PA 15221",13(a)(16) Possession of Controlled Substance,"Forbes AV & S Braddock AV Pittsburgh, PA 15221",Point Breeze,4,1406,9,3,-79.89764515,40.43966925,15:32:00,56,80,0
6/20/18,18118133,38,M,W,"1200 Block Watson ST Pittsburgh, PA 15219",13(a)(16) Possession of Controlled Substance,"1200 Block Watson ST Pittsburgh, PA 15219",Bluff,2,103,6,3,-79.98919837,40.43829132,16:35:00,68,83,0
6/21/18,18118762,37,M,W,"Chartiers AV & Ernie ST Pittsburgh, PA 15220",13(a)(16) Possession of Controlled Substance,"Chartiers AV & Ernie ST Pittsburgh, PA 15220",Elliott,6,2020,2,5,-80.04003075,40.44345747,13:15:00,66,76,1.34
6/23/18,18120327,29,M,W,"Hamilton AV & N Braddock AV Pittsburgh, PA 15208",13(a)(16) Possession of Controlled Substance,"Hamilton AV & N Braddock AV Pittsburgh, PA 15208",Homewood South,5,1303,9,2,-79.89111183,40.45317284,20:06:00,64,78,0.25
6/24/18,18118032,33,M,W,"600 Block 1st AV Pittsburgh, PA 15219",13(a)(16) Possession of Controlled Substance,"600 Block Tripoli ST Pittsburgh, PA 15212",East Allegheny,1,2304,1,1,-79.99987428,40.45620007,08:50:00,66,80,0.44
6/28/18,18123056,21,M,B,"1700 Block Belleau DR Pittsburgh, PA 15212",13(a)(16) Possession of Controlled Substance,"1700 Block Belleau DR Pittsburgh, PA 15212",Fineview,1,2509,6,1,-80.00698339,40.46031055,16:00:00,67,81,0.43
7/8/18,18129436,36,M,W,"Millbridge ST & Ceres WY Pittsburgh, PA 15210",13(a)(16) Possession of Controlled Substance,"Millbridge ST & Ceres WY Pittsburgh, PA 15210",Allentown,3,1803,3,5,-79.99585231,40.42325184,17:28:00,55,82,0
7/10/18,18130710,34,M,B,"1300 Block Olivant ST Pittsburgh, PA 15206",13(a)(16) Possession of Controlled Substance,"1300 Block Olivant ST Pittsburgh, PA 15206",Lincoln-Lemington-Belmar,5,1203,9,2,-79.89930404,40.46684343,11:45:00,67,86,0
7/11/18,18131980,57,M,W,"2000 Block Irwin AV Pittsburgh, PA 15214",13(a)(16) Possession of Controlled Substance,"2000 Block Irwin AV Pittsburgh, PA 15214",Perry South,1,2614,6,1,-80.01737806,40.46283242,23:15:00,63,81,0.02
7/13/18,18133439,29,F,W,"100 Block W North AV Pittsburgh, PA 15212",13(a)(16) Possession of Controlled Substance,"100 Block W North AV Pittsburgh, PA 15212",Central North Side,1,2206,1,1,-80.00785379,40.45551297,21:09:00,62,85,0
7/17/18,18135660,34,M,B,"S Euclid AV & Commerce ST Pittsburgh, PA 15206",13(a)(16) Possession of Controlled Substance,"S Euclid AV & Commerce ST Pittsburgh, PA 15206",East Liberty,5,1115,9,2,-79.9292361,40.45925966,00:35:00,67,85,0
7/18/18,18136710,50,M,B,"Federal ST N & Parkhurst ST Pittsburgh, PA 15212",13(a)(16) Possession of Controlled Substance,"Federal ST & Parkhurst ST Pittsburgh, PA 15212",Central North Side,1,2206,1,1,-80.00701735,40.45663096,12:30:00,60,79,0
7/20/18,18138590,59,M,B,"500 Block Grace ST Pittsburgh, PA 15211",13(a)(16) Possession of Controlled Substance,"500 Block Grace ST Pittsburgh, PA 15211",Mount Washington,3,1914,2,5,-80.01490869,40.42814249,19:10:00,67,83,0
7/21/18,18138956,36,F,B,"700 Block Excelsior ST Pittsburgh, PA 15210",13(a)(16) Possession of Controlled Substance,"700 Block Excelsior ST Pittsburgh, PA 15210",Allentown,3,1803,3,5,-79.99580632,40.42275826,06:06:00,65,78,0.14
7/23/18,18140909,28,F,W,"200 Block Birmingham AV Pittsburgh, PA 15210",13(a)(16) Possession of Controlled Substance,"200 Block Birmingham AV Pittsburgh, PA 15210",Carrick,3,2902,4,3,-79.9862542,40.40224786,23:59:00,65,81,0.05
8/1/18,18147179,30,M,W,"Alluvian ST & Glenbar WY Pittsburgh, PA 15207",13(a)(16) Possession of Controlled Substance,"Alluvian ST & Glenbar WY Pittsburgh, PA 15207",Glen Hazel,4,1504,5,3,-79.93651435,40.40217549,16:20:00,66,76,0.31
8/8/18,18151968,21,M,B,"Mathews AV & Bausman ST Pittsburgh, PA 15210",13(a)(16) Possession of Controlled Substance,"Mathews AV & Bausman ST Pittsburgh, PA 15210",Bon Air,3,1806,3,5,-79.99705004,40.41379572,12:10:00,69,78,1.05
8/9/18,17101894,26,M,W,"900 Block 2d AV Pittsburgh, PA 15219",13(a)(16) Possession of Controlled Substance,"700 Block 2nd AV Pittsburgh, PA 15219",Bluff,2,103,6,6,-79.994401,40.43527615,14:40:00,67,81,0
8/9/18,18145016,39,M,B,"600 Block 1st AV Pittsburgh, PA 15219",13(a)(16) Possession of Controlled Substance,"300 Block Ladson ST Pittsburgh, PA 15206",Larimer,5,1204,9,2,-79.9076406,40.46349123,09:00:00,67,81,0
8/13/18,18155553,13,F,W,"1100 Block Brownsville RD Pittsburgh, PA 15210",13(a)(16) Possession of Controlled Substance,"1100 Block Brownsville RD Pittsburgh, PA 15210",Carrick,3,2902,4,3,-79.99090255,40.40494732,12:45:00,62,81,0
8/16/18,18158071,19,F,W,"Bausman ST & Bernd ST Pittsburgh, PA 15210",13(a)(16) Possession of Controlled Substance,"Bausman ST & Bernd ST Pittsburgh, PA 15210",Beltzhoover,3,1809,,,,,20:41:00,67,76,0
